Name, Quantity, Price, Link,
Total, N/A, ~85-90 (<70 for components but + tax and shipping and depends on how expensive your shipping is), N/A
PCB Boards, 5 (min quantity from JLCPCBD), ~$7.00 w/ shipping, jlcpcb.com
Seeed Studio XIAO ESP32 S3 Plus, 1, $7.99, https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Plus-p-6361.html,
Kailh Choc v2 Low Profile Keyboard Switches (brown switch variety), 10 (need 4 but whatever min quantity you can find), $12.00, https://www.amazon.com/KAILH-Profile-Mechanical-Keyboard-Keystem/dp/B0B463YXGQ/ref=sr_1_3?crid=50VPKBCATYCO&dib=eyJ2IjoiMSJ9.Gzt2jvc4qV_Ogq9yFG0d0IUrZBKO-aG-nOpPDW2T-o3UZpg9slUbYrp-NdaWb5nNyzjzHO4fnItiBn6w3-euWRNiA3w4z6aCa8vqKvJsdxMuyc-C0Lc1-4snAM9LL09rJAOYMTBEQQNCiB7dxQz5-z2AFwkKCX9uoIKl-IvaVv-98peJEBvBUbGzvblb_yJnLZZH4Yt37W5vOiFgZcAw1gt4P6pWkpUNjcR7cHKi4VE.UwQbpqP1bqHfobgUEAuVg6W2DaMiG2_HCWwc6_qfBo8&dib_tag=se&keywords=kailh%2Bchoc%2Bv2%2Bbrown%2B20%2Bpcs&qid=1788232250&sprefix=kailh%2Bchoc%2Bv2%2Bbrown%2B20%2Bpcs%2Caps%2C105&sr=8-3&th=1,
Cherry MX Style Blank Keycaps 1U (white - 18 x 18 mm), 10 (need 4), ~$10 (for ten), https://www.amazon.com/PATIKIL-Universal-Replacement-Accessories-Mechanical/dp/B0B5KZQ9X9/ref=sr_1_7_sspa?crid=12ATOS6KH7DQS&dib=eyJ2IjoiMSJ9.-PEZO3lmrldqZH0to2R2HRwN5BKRn86UWDtIm__w3eBpasSO6ZcCaM8QUq_QC9RgCpf5S-4EZqDYFlEzHrvcDUFbGRBe5v_g-2uizBUqArkQR8r0fBgW3fjjAHnhHtVhcrmu-O6b1ETLkijcrdWsNscyHGEe1Wfe2qANjGtk2DE58KXFpQiHFqz2rpJbc1Yo6SbPw8HZisYYzNHv0vWksAsGGalZiP4I_vSb9mQW3ls.IQFXB0KRTVGAZzOyLXqZZXrNk55Y8BOvogiIjWzgNds&dib_tag=se&keywords=Cherry%2BMX%2BKeycaps%2Bblank%2B10pcs&qid=1788231734&sprefix=cherry%2Bmx%2Bkeycaps%2Bblank%2B10pcs%2Caps%2C93&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1,
1.8" TFT LCD Display, 1, $14.99, https://shillehtek.com/products/shillehtek-1-8-inch-tft-lcd-display-module-dual-side-soldering?srsltid=AfmBOorBkotCfhiGtGBZEbm65gt_SpKaxWSlNMge2-bRZPlzXLDWFU5m,  
3.7v 1100 mAh Lithium Polymer Battery (2pin JST-PH 2.0 mm connector), 1, ~11, https://www.amazon.com/EEMB-1100mAh-Battery-Rechargeable-Connector/dp/B08FD39Y5R/ref=sr_1_2?crid=1HM1N5BQI328X&dib=eyJ2IjoiMSJ9.oCONr58BVjq1YO6zXWbcvesAbRY5XX7_4r3rtE90bLa9NNh8JLkk7cYN1TguAKXxTBEzNr4n7RTipDFYOY0kFok8PXJ_RaqFTOeM5XqBTyKpjXnFFFZxt8Qh0H_12K_YS2GvWCGQCVN4dzqZoy9_aTQPhpxRUhYv0qyvhXEqAQHsb88BeH1ER5Rh7UCn4a7LD3cZmeMf-OYr3ekDTR6lgGtYbGrbhDOIBUx1luwbbbauX_Xfu3oT-MUedajhkVTIOUYdEG-fMiS34MOOhHyMdkP5FRD-IjalL2x0GSF6ifs.e3JIIOpRqOoFrKzY6wyHervbVvqlAjrnq9Ke6bO4724&dib_tag=se&keywords=1100%2BmAh%2Bbattery%2Blipo%2B3.7v&qid=1788231984&sprefix=1100%2Bmah%2Bbattery%2Blipo%2B3.7v%2Caps%2C102&sr=8-2&th=1,
Temperature Sensor, 1, $2.78, https://www.lcsc.com/product-detail/Temperature-Sensors_ADI_TMP36GT9Z_TMP36GT9Z_C53490.html,
Passive Piezo-Electric Buzzer, 10 (min purchase amount for this specific model), $0.75 (for ten), https://www.lcsc.com/product-detail/C49246966.html?s_z=n_q_C49246966&globalKeyword=C49246966, 
3D Printed Case, 1, <$5 ideally, jlc3dp.com
